Product Name,Manufacturer,Date Last Verified,Revision Date,CAS #,Product Code,Supplier,Document ID,Custom 1,Custom 2,Date Modified,Date Added,Added By,Regulatory Formats,Added To Queue By,Status,Language,UN/NA #,Approval,Approval Number
LOCTITE LB 8151 AE known as LOCTITE SILVER GRADE ANTI-SEI,Henkel Corporation,2/25/2026 12:00:00 AM,4/21/2025 12:00:00 AM,,76759,,152958964,,,3/4/2026,7/15/2025,John Scholten,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Ammonia LR TNT Reagent Vial,Hach Company,2/13/2026 12:00:00 AM,2/10/2025 12:00:00 AM,,TNT831R,Hach Company,152958967,,,7/15/2025,7/15/2025,John Scholten,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"CITGO Gasolines, All Grades Unleaded",CITGO Petroleum Corporation,10/28/2025 12:00:00 AM,8/17/2023 12:00:00 AM,,,,147870210,O-0427,,3/4/2026,7/15/2025,Connie Muncy,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Sodium Chloride Standard Solution,Hach Company,8/5/2025 12:00:00 AM,4/11/2025 12:00:00 AM,,1440049,,152861184,,,1/30/2026,7/1/2025, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Diesel Exhaust Fluid,Blue Sky East LLC,4/1/2026 12:00:00 AM,3/5/2019 12:00:00 AM,,,,49281378,,,7/1/2025,7/1/2025,Carolina Ayala,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Citric Acid,Hach Company,2/13/2026 12:00:00 AM,2/10/2025 12:00:00 AM,77-92-9,2106269,,152832880,,,3/4/2026,6/30/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Amino Acid F Reagent Solution,Hach Company,11/6/2025 12:00:00 AM,1/27/2025 12:00:00 AM,,"2386442, 25535-00",,152827999,Originally part of kit - 25535-00,,1/30/2026,6/30/2025,Cindy Emerson,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
LOCTITE 242 THREADLOCKER,Henkel Corporation,7/21/2025 12:00:00 AM,2/12/2025 12:00:00 AM,,24243,,152715876,,,6/12/2025,6/12/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
26BR HIGH TEMP RTV RED SILICONE GASKET MAKER 3 OZ,ITW Permatex,1/26/2026 12:00:00 AM,10/14/2024 12:00:00 AM,,"81160, 5611608, 686226811608",ITW Permatex Canada,152551718,,,3/4/2026,5/27/2025,Cindy Emerson,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
WD-40 Multi-Use Product Aerosol,WD-40 Company,5/1/2026 12:00:00 AM,11/13/2024 12:00:00 AM,,"079567490043, 079567110071, 079567100119, 079567421108, 10011, 11007, 42110, 49004, 10002, 10005, 10008, 10016, 10013, 10023, 079567100164",,152551724,O-1181,,4/27/2026,5/27/2025,Cindy Emerson,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"Sulfuric Acid Standard Solution, 5.25 N",Hach Company,10/31/2025 12:00:00 AM,2/10/2025 12:00:00 AM,7664-93-9,"244932, 2448700",,152551733,,,5/26/2026,5/27/2025,Cindy Emerson,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Ammonia LR TNT Reagent A,Hach Company,2/13/2026 12:00:00 AM,2/10/2025 12:00:00 AM,,TNT831A,,152500309,,,5/20/2025,5/20/2025,Buffy Smith,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Amino Acid Reagent for Phosphate and Silica,Hach Company,6/3/2025 12:00:00 AM,2/10/2025 12:00:00 AM,,"193432, 1934-32",,152473491,,,5/14/2025,5/14/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
DPD Free Chlorine Reagent,Hach Company,3/18/2026 12:00:00 AM,2/10/2025 12:00:00 AM,,"2105569, 21055-69, 58700-00",,152411897,,,5/6/2025,5/6/2025,Buffy Smith,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Activated Alumina D-201 3x6,UOP LLC,3/31/2020 12:00:00 AM,12/16/2014 12:00:00 AM,1344-28-1,,,50796088,O-0055,,4/28/2025,4/28/2025,Carolina MSDSonline,United States , ,In Use,English,,Approved,
Kling,BETCO CORPORATION,2/27/2025 12:00:00 AM,7/3/2023 12:00:00 AM,,"075, 700427075123",,152318107,,,4/22/2025,4/22/2025,John Scholten,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
pH Storage Solution,Hach Company,11/7/2025 12:00:00 AM,2/10/2025 12:00:00 AM,,2756549,,152205349,,,5/26/2026,4/8/2025,Carolina Ayala,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
KLEEN MCT113,"SUEZ WTS USA, Inc.",2/8/2023 12:00:00 AM,7/8/2022 12:00:00 AM,,,,146340854,,,1/23/2026,4/8/2025,Connie Muncy,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
KLEEN MCT405,"GE Betz, Inc.",12/8/2017 12:00:00 AM,6/29/2017 12:00:00 AM,,,,47001985,,,4/8/2025,4/8/2025,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
MOBIL DTE OIL HEAVY MEDIUM,Exxon Mobil Corporation,5/13/2024 12:00:00 AM,1/16/2020 12:00:00 AM,,"201560501590, 600163-00, 970172, 4DNJ8, 4DNJ9",,143435916,,,4/8/2025,4/8/2025, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
RoClean L211,Avista Technologies Inc,5/10/2017 12:00:00 AM,5/10/2017 12:00:00 AM,,,,46175295,,,4/8/2025,4/8/2025,Carolina MSDSonline,"United States, Canada, European Union, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
EZCLEAN,OMEGASONICS,10/9/2023 12:00:00 AM,10/9/2023 12:00:00 AM,,,,152150933,,,4/2/2025,4/2/2025, Anonymous General User,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
PhosVer 3 Phosphate Reagent,Hach Company,3/18/2026 12:00:00 AM,2/10/2025 12:00:00 AM,,2106069,,151944359,,,4/8/2026,3/18/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
DPD Total Chlorine Reagent,Hach Company,2/23/2026 12:00:00 AM,2/10/2025 12:00:00 AM,,2105669,,151944343,,,3/4/2026,3/18/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Vinegar,National Vinegar Co,1/13/2026 12:00:00 AM,7/20/2015 12:00:00 AM,,,,151944063,,,3/18/2025,3/18/2025,Jamie Penicook,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
