Product Name,Manufacturer,Date Last Verified,Revision Date,CAS #,Product Code,Supplier,Document ID,Custom 1,Custom 2,Date Modified,Date Added,Added By,Regulatory Formats,Added To Queue By,Status,Language,UN/NA #,Approval,Approval Number
MOBIL SHC RARUS 68,Exxon Mobil Corporation,2/27/2024 12:00:00 AM,9/27/2019 12:00:00 AM,,"201560201065, 608778-60, 97AV56",,143976489,,,8/25/2022,8/25/2022,Kelsey Czajkowsk,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
MOBIL DTE OIL LIGHT,Ampol Australia Petroleum Pty Ltd,10/6/2021 12:00:00 AM,10/6/2021 12:00:00 AM,,"201560501560, 600148-85",,143976480,,,8/25/2022,8/25/2022,Kelsey Czajkowsk,Globally Harmonized System (GHS) , ,In Use,English,,Approved,
MOBIL DTE 732 M2,ExxonMobil Lubricants Private Limited,11/20/2019 12:00:00 AM,1/4/2019 12:00:00 AM,,201560302045,,143976471,,,8/25/2022,8/25/2022,Kelsey Czajkowsk,Globally Harmonized System (GHS) , ,In Use,English,,Approved,
Tap Magic PROTAP Liquid,Steco Corporation,1/22/2025 12:00:00 AM,7/1/2017 12:00:00 AM,,,,51195935,,,7/5/2022,7/5/2022,Carolina Ayala,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
BRAKLEEN BRAKE PARTS CLEANER - 14 OZ,"CRC Industries, Inc.",3/6/2020 12:00:00 AM,3/6/2020 12:00:00 AM,,"05084, 1003696,  991/1002986, 5YK76",,143458085,,,6/23/2022,6/23/2022,Kelsey Czajkowsk,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Super-Soy Degreaser,"CRC Industries, Inc.",5/11/2021 12:00:00 AM,5/8/2017 12:00:00 AM,,"03135, 699A",,140239056,,,8/28/2024,6/23/2022,Jimmy Hendricks,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Iron OUT (liquid),Iron Out / Summit Brands,3/19/2025 12:00:00 AM,12/15/2020 12:00:00 AM,,,,141292694,,,5/16/2022,5/16/2022, VelocityEHS,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
CAUSTIC SODA 50%,UNIVAR,5/3/2021 12:00:00 AM,6/6/2017 12:00:00 AM,,,UNIVAR,46793616,,,8/9/2023,4/7/2022,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
HYPERSPERSE MDC708,"SUEZ WTS USA, Inc.",2/21/2018 12:00:00 AM,12/18/2017 12:00:00 AM,,,,142745600,,,4/7/2022,4/7/2022,Kelsey Czajkowsk,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
OPTISPERSE ADJ0350,SUEZ Water Technologies & Solutions Canada,1/4/2022 12:00:00 AM,5/27/2018 12:00:00 AM,,,,142745560,,,4/7/2022,4/7/2022,Kelsey Czajkowsk,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
FYRQUEL EHC-N,ICL-IP America Inc.,3/28/2023 12:00:00 AM,5/30/2018 12:00:00 AM,,7071E,,51196506,,,3/31/2022,3/31/2022,Carolina Ayala,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
WINDEX GLASS CLEANER (RTU),"Drackett Professional - A Division of S.C. Johnson Commercial Markets, Inc.",12/19/2024 12:00:00 AM,4/8/2003 12:00:00 AM,,90122 & 90135 & 90139 & 90940 & 94099,,142585625,,,4/1/2022,3/31/2022,Kelsey Czajkowsk,United States , ,In Use,English,,Approved,
FOAMY Q&A,"Spartan Chemical Company, Inc.",2/18/2026 12:00:00 AM,2/28/2020 12:00:00 AM,,3200; 3202,,50736340,,,12/13/2023,3/31/2022,Michael Joyce,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Vitec 8200,Avista Technologies Inc,10/19/2018 12:00:00 AM,10/19/2018 12:00:00 AM,,,,142554943,,,3/31/2022,3/31/2022,Jamie Penicook,"United States, European Union, Globally Harmonized System (GHS) ",Jamie Penicook,In Use,English,,Approved,
GORILLA SEALANT,The Gorilla Glue Company,1/4/2023 12:00:00 AM,9/22/2015 12:00:00 AM,,"49UU20, 49UU21, 49UU22",,142497330,,,3/25/2022,3/25/2022,Kelsey Czajkowsk,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
66BR CLEAR RTV SILICONE ADHESIVE SEALANT 3 OZ,PERMATEX,6/1/2011 12:00:00 AM,6/1/2011 12:00:00 AM,,"2GXY5, 80050",,142497323,,,3/25/2022,3/25/2022,Kelsey Czajkowsk,United States , ,In Use,English,,Approved,
"3M Wire Pulling Lubricant Wax Series (WLX-QT, WLX-1, WLX-5)",3M - Electrical Markets Division,11/26/2025 12:00:00 AM,4/30/2021 12:00:00 AM,,"07-3208-1, 80-6108-3364-4, 80-6108-3366-9, 80-6108-3365-1, 80-6114-9094-9, 00-54007-41742-2, 00-54007-41744-6, 00-54007-41743-9, 7100026918, 7000006087, 7000006088",,142497316,,,3/25/2022,3/25/2022,Kelsey Czajkowsk,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
LOCTITE 567 TB 50ML EN,Henkel Corporation,9/3/2020 12:00:00 AM,10/8/2015 12:00:00 AM,,"49CR86, 2087067",,142497309,,,3/25/2022,3/25/2022,Kelsey Czajkowsk,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"Lead Acid Battery, Wet",BAE Batterien GmbH,4/7/2025 12:00:00 AM,3/12/2019 12:00:00 AM,,,,141734124,,,1/23/2026,1/17/2022,Kelsey Czajkowsk,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Amino Acid F Reagent,Hach Company,12/27/2018 12:00:00 AM,12/27/2018 12:00:00 AM,,2254069,Arachem (M) Sdn Bhd,50649309,,,1/11/2022,1/11/2022,Carolina MSDSonline,Globally Harmonized System (GHS) , ,In Use,English,,Approved,
Enforcer Instant Knockdown Wasp & Hornet Killer,"Zep Commercial Sales & Service, a unit of Zep, Inc.",10/27/2025 12:00:00 AM,7/6/2018 12:00:00 AM,,EWHIK16,,48569176,,,1/11/2022,1/11/2022,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Electrical Parts Cleaner,"CRC Industries, Inc.",8/6/2025 12:00:00 AM,10/25/2017 12:00:00 AM,,"02180, 1003236, 491G/1002481",,49034999,,,11/12/2024,1/11/2022,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Steel Reinforced Epoxy Resin - Twin Tube - Part A,J-B WELD COMPANY,9/3/2025 12:00:00 AM,6/15/2018 12:00:00 AM,,"8265, 8265S, 8265H, 80165, 8280, 8281, 8272, 8276, 80176, 8270, 8271, 8276H",,50648964,,,1/11/2022,1/11/2022,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Tap Magic EP-Xtra,Steco Corporation,9/11/2024 12:00:00 AM,7/16/2015 12:00:00 AM,,"10004E, 10016E, 10128E, 10640E, 13840E, 17040E, 662387100164",,46187432,,,8/28/2024,1/10/2022,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Heavy Duty Degreaser II - 15 oz,"CRC Industries, Inc.",10/22/2025 12:00:00 AM,2/16/2021 12:00:00 AM,,"03120, 1003398, 490C/1002479",,139524747,,,1/10/2022,1/10/2022,Amy Forstner,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Goof Off Professional Strength VOC Compliant,W. M. Barr,2/12/2025 12:00:00 AM,6/7/2018 12:00:00 AM,,"FG603, FG603BULK, FG612, FG650, FG650SK, FG650LWS, FG650LDS, FG651, FG651BULK, FG651BULK2, FG651BULK3, FG653, FG653B, FG653BBLK, FG654, FG654BWS, FG654LWS, FG655B, FG655BUL, FG655BWS, FG657, FG683, FG690, FG750, 2410B.4, FG661, FG661CAN, FG631",,139560388,,,1/10/2022,1/10/2022, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
GOJO SCRUBBING TOWELS,"GOJO Industries, Inc.",2/10/2015 12:00:00 AM,2/10/2015 12:00:00 AM,,"2DHD4, 2FPN1, 31HJ74, 31HJ75, 31HJ76, 31HJ77",,46994738,,,1/10/2022,1/10/2022,Carolina MSDSonline,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"GRAINGER -15118, SUPER GLUE 20G, BOTTLE",Pacer Technology,10/30/2014 12:00:00 AM,10/30/2014 12:00:00 AM,,3EHP1,,47000041,,,1/10/2022,1/10/2022,Carolina MSDSonline,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Foaming Crystal Simple Green Industrial Cleaner & Degreaser,"Sunshine Makers, Inc.",2/24/2026 12:00:00 AM,2/23/2021 12:00:00 AM,,043318000157,,138987422,,,1/10/2022,1/10/2022, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
